setup,scheme,sum_se,mean_se,tau_p_actual,n_active_ap,n_active_rf,ee_bps_per_hz_per_watt
8,MJH beam-resource matching,236.90697300639962,4.738139460127993,5,161,619,1.8547238847563223
8,TopAP (bisect),220.79510514748534,4.4159021029497065,15,198,1584,1.1933795431807155
8,Hybrid#3 (TopAP N=8 adaptive),230.8989215109801,4.617978430219602,9,173,1384,1.4045658529587681
8,Hybrid#4 (TopAP+greedy),220.81341187226246,4.416268237445249,15,181,1448,1.2913694344106195
9,Random,268.9655488673462,5.379310977346924,15,200,1600,1.4408868689322119
9,Gao matching,266.6006041709065,5.33201208341813,15,200,1600,1.4282175223441422
9,GC (Liu),266.6637983132227,5.333275966264454,15,200,1600,1.4285560623922646
9,Structured (Chen),266.66198036482933,5.333239607296587,15,200,1600,1.4285463233830147
9,Mussbah,284.51458020652336,5.690291604130468,6,154,631,2.2820194653358556
9,MJH weighted-count default,284.51458020652336,5.690291604130468,6,154,631,2.2820194653358556
9,MJH weighted-count strict,288.6384461513937,5.772768923027874,3,154,631,2.315095950737056
9,MJH weighted-power,284.51458020652336,5.690291604130468,6,154,631,2.2820194653358556
9,MJH beam-resource matching,289.3560607399446,5.787121214798892,4,154,631,2.3208517557945454
9,TopAP (bisect),266.51862229018707,5.330372445803741,15,194,1552,1.4666713140797236
9,Hybrid#3 (TopAP N=8 adaptive),277.822028239744,5.55644056479488,10,166,1328,1.7515311226630914
9,Hybrid#4 (TopAP+greedy),266.65551999106725,5.333110399821345,15,177,1416,1.5901536748461003
10,Random,273.8423811258453,5.476847622516906,15,200,1600,1.4670127560313144
10,Gao matching,274.27075720457213,5.4854151440914425,15,200,1600,1.4693076278816368
10,GC (Liu),274.31270282512764,5.486254056502553,15,200,1600,1.469532336563184
10,Structured (Chen),274.32839475322527,5.486567895064505,15,200,1600,1.4696164004637071
10,Mussbah,289.70333381827817,5.7940666763655635,7,157,578,2.334967697311593
10,MJH weighted-count default,289.70333381827817,5.7940666763655635,7,157,578,2.334967697311593
10,MJH weighted-count strict,296.1095146830054,5.922190293660107,3,157,578,2.386600604621029
10,MJH weighted-power,289.70333381827817,5.7940666763655635,7,157,578,2.334967697311593
10,MJH beam-resource matching,294.2562208529517,5.885124417059034,4,157,578,2.3716633197449193
10,TopAP (bisect),274.74578594631834,5.494915718926367,15,198,1584,1.4849785746130173
10,Hybrid#3 (TopAP N=8 adaptive),289.8313583142371,5.7966271662847415,7,167,1336,1.8177893167672847
10,Hybrid#4 (TopAP+greedy),274.3492957914128,5.486985915828257,15,180,1440,1.61223876077226
11,Random,267.67608020561937,5.353521604112387,15,200,1600,1.4339790011015325
11,Gao matching,268.40752282138783,5.368150456427757,15,200,1600,1.4378974436860066
11,GC (Liu),268.31204803204366,5.366240960640873,15,200,1600,1.4373859716002342
11,Structured (Chen),268.32036050483805,5.366407210096761,15,200,1600,1.4374305027044898
11,Mussbah,280.61641368027693,5.612328273605539,7,156,622,2.2390798474409035
11,MJH weighted-count default,280.61641368027693,5.612328273605539,7,156,622,2.2390798474409035
11,MJH weighted-count strict,290.50934208220286,5.810186841644057,3,156,622,2.3180169856019166
11,MJH weighted-power,280.61641368027693,5.612328273605539,7,156,622,2.2390798474409035
11,MJH beam-resource matching,288.8878884004917,5.777757768009834,4,156,622,2.3050791669808905
11,TopAP (bisect),268.31608444666136,5.366321688933227,15,194,1552,1.4765628787305956
11,Hybrid#3 (TopAP N=8 adaptive),280.15009912047617,5.603001982409523,9,166,1328,1.76620846351041
11,Hybrid#4 (TopAP+greedy),268.3219439854059,5.3664388797081175,15,179,1432,1.5845004319791698
12,Random,236.93927909499646,4.738785581899929,15,200,1600,1.2693175665803385
12,Gao matching,237.24265809552546,4.744853161910509,15,200,1600,1.2709428112260295
12,GC (Liu),237.18791738934155,4.743758347786831,15,200,1600,1.2706495574429013
12,Structured (Chen),237.20754962386368,4.744150992477274,15,200,1600,1.2707547301278415
12,Mussbah,250.18455130816886,5.003691026163377,8,171,666,1.8578750545800136
12,MJH weighted-count default,250.18455130816886,5.003691026163377,8,171,666,1.8578750545800136
12,MJH weighted-count strict,255.03190745673592,5.100638149134719,4,171,666,1.8938716100107875
12,MJH weighted-power,250.18455130816886,5.003691026163377,8,171,666,1.8578750545800136
12,MJH beam-resource matching,255.87847936722093,5.117569587344419,5,171,666,1.9001582685041845
12,TopAP (bisect),237.213507511385,4.7442701502277,15,196,1568,1.2936566488532177
12,Hybrid#3 (TopAP N=8 adaptive),250.1535542601636,5.003071085203271,8,173,1384,1.5216924271921548
12,Hybrid#4 (TopAP+greedy),237.19058612774316,4.743811722554863,15,182,1456,1.3804864843985443
13,Random,265.91008498472286,5.318201699694457,15,200,1600,1.4245183124181584
13,Gao matching,265.344152785712,5.30688305571424,15,200,1600,1.4214865327806003
13,GC (Liu),265.4087123197499,5.308174246394998,15,200,1600,1.4218323874272318
13,Structured (Chen),265.37994670160344,5.307598934032069,15,200,1600,1.4216782859014474
13,Mussbah,282.477504429164,5.64955008858328,7,155,560,2.30892313408485
