K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
30,29,Random,205.43066521586738,6.847688840528913,15,1.1541048607633
30,29,Gao matching,206.22395039253254,6.874131679751085,15,1.1585615190591718
30,29,Mussbah,220.08556692677584,7.336185564225861,6,2.494028748674439
30,29,Hybrid#3 (TopAP N=8 adaptive),220.14794080379866,7.338264693459956,6,1.7818530214795523
30,29,MJH weighted-count strict,220.53537667229293,7.3511792224097645,3,2.499126031755827
30,29,MJH beam-resource matching,220.7307545462958,7.35769181820986,5,2.5013400707835665
30,30,Random,201.07693114324653,6.702564371441551,15,1.1296456805800368
30,30,Gao matching,197.84892951129711,6.594964317043237,15,1.1115108399511076
30,30,Mussbah,210.07458078270216,7.002486026090072,6,2.1910156527190465
30,30,Hybrid#3 (TopAP N=8 adaptive),214.44519925752002,7.148173308584001,5,1.6905415786954674
30,30,MJH weighted-count strict,216.10753306094813,7.203584435364937,3,2.2539375579990417
30,30,MJH beam-resource matching,215.8796481931295,7.195988273104317,3,2.251560786328009
30,31,Random,213.42494319196987,7.114164773065663,14,1.1990165347863477
30,31,Gao matching,211.38949853194524,7.046316617731508,15,1.1875814524266588
30,31,Mussbah,225.15201851232257,7.5050672837440855,6,2.4163127120876
30,31,Hybrid#3 (TopAP N=8 adaptive),225.1275532961343,7.50425177653781,6,1.8100707802704268
30,31,MJH weighted-count strict,233.60827709126494,7.786942569708831,2,2.507064574922354
30,31,MJH beam-resource matching,232.03967044843324,7.734655681614441,3,2.4902304190645337
30,32,Random,211.65992423433923,7.055330807811307,15,1.1891006979457261
30,32,Gao matching,211.84935931016327,7.0616453103387755,15,1.1901649399447376
30,32,Mussbah,228.76191640377453,7.625397213459151,6,2.4418201035787432
30,32,Hybrid#3 (TopAP N=8 adaptive),228.81966036169393,7.627322012056465,6,1.7806977460054003
30,32,MJH weighted-count strict,233.64010931613407,7.788003643871136,2,2.4938902632879767
30,32,MJH beam-resource matching,232.60763706699188,7.753587902233063,3,2.4828695849601528
30,33,Random,198.60273831786142,6.6200912772620475,15,1.1157457208868622
30,33,Gao matching,202.31171085850292,6.743723695283431,15,1.1365826452724885
30,33,Mussbah,213.08470289994384,7.102823429998128,5,2.2911101865485066
30,33,Hybrid#3 (TopAP N=8 adaptive),213.17243069724537,7.1057476899081795,5,1.627581070412257
30,33,MJH weighted-count strict,216.6720783059418,7.22240261019806,3,2.329682041889596
30,33,MJH beam-resource matching,216.62917464274108,7.220972488091369,3,2.3292207369790994
30,34,Random,205.568044075853,6.852268135861767,15,1.154876652111534
30,34,Gao matching,204.50582469774497,6.816860823258166,15,1.1489091275154213
30,34,Mussbah,222.38932095207522,7.412977365069174,5,2.2526140385117777
30,34,Hybrid#3 (TopAP N=8 adaptive),222.36096624720295,7.412032208240098,5,1.687109000358141
30,34,MJH weighted-count strict,223.679615718482,7.455987190616067,2,2.265683623382953
30,34,MJH beam-resource matching,221.43802144337275,7.381267381445758,4,2.2429781863091693
30,35,Random,197.64099655536887,6.588033218512296,15,1.1103426772773535
30,35,Gao matching,197.4200779123108,6.580669263743693,15,1.109101561305117
30,35,Mussbah,213.53407079154937,7.117802359718312,4,2.2706728072261737
30,35,Hybrid#3 (TopAP N=8 adaptive),211.01390992288432,7.033796997429477,6,1.6010160085196081
30,35,MJH weighted-count strict,216.48148724500768,7.2160495748335896,2,2.302014964323774
30,35,MJH beam-resource matching,219.08361864723082,7.302787288241027,3,2.329685438613684
30,36,Random,181.3909753940297,6.046365846467657,15,1.0190504235619648
30,36,Gao matching,181.46069980390652,6.048689993463551,15,1.019442133729812
30,36,Mussbah,195.9166475938052,6.530554919793507,6,1.9246195549271108
30,36,Hybrid#3 (TopAP N=8 adaptive),194.0650661661457,6.468835538871523,7,1.5398934034211125
30,36,MJH weighted-count strict,200.378227945915,6.6792742648638335,3,1.9684486266114742
30,36,MJH beam-resource matching,198.08181695080813,6.6027272316936045,4,1.9458894538121534
30,37,Random,200.6407185765261,6.68802395255087,15,1.127195048182731
30,37,Gao matching,201.99281396487086,6.733093798829029,15,1.134791089690286
30,37,Mussbah,218.0493303807566,7.268311012691886,5,2.144044546516781
30,37,Hybrid#3 (TopAP N=8 adaptive),218.07237587604192,7.269079195868064,5,1.6545703784221695
