tau_p_design,setup,scheme,sum_se,mean_se,p5_se,tau_p_actual,ee_bps_per_hz_per_watt
9,89,Hybrid#4 (TopAP+greedy),261.4872850757295,5.229745701514591,1.1185548753142736,9,1.5074209362551665
9,90,Random,268.125537903565,5.362510758071299,1.4526687923953485,9,1.4363868101976698
9,90,Gao matching,267.20348942988414,5.3440697885976824,1.427434968111642,9,1.431447264802951
9,90,GC (Liu),267.2871769263103,5.3457435385262055,1.426929025921647,9,1.4318955906766626
9,90,Structured (Chen),267.13626705447035,5.342725341089407,1.4261161585097628,9,1.431087144934663
9,90,Mussbah,276.18049674900533,5.523609934980106,1.5627007034787717,7,2.2466180133868843
9,90,MJH weighted-count default,276.18049674900533,5.523609934980106,1.5627007034787717,7,2.2466180133868843
9,90,MJH weighted-count strict,282.26747983962446,5.645349596792489,1.5165868215784195,3,2.2961331892213113
9,90,MJH weighted-power,276.18049674900533,5.523609934980106,1.5627007034787717,7,2.2466180133868843
9,90,MJH beam-resource matching,280.4896757036173,5.609793514072346,1.5776150571293723,4,2.2816714627661763
9,90,TopAP (bisect),267.7418400194767,5.354836800389534,1.4283441806147912,9,1.6045256093855975
9,90,Hybrid#3 (TopAP N=8 adaptive),270.9296752549549,5.418593505099097,1.4608832802337985,8,1.7170087684496744
9,90,Hybrid#4 (TopAP+greedy),267.21838896016504,5.344367779203301,1.4315571939877774,9,1.6013886673601583
9,91,Random,298.0196157877083,5.960392315754166,1.2076592124522378,9,1.5965336560055805
9,91,Gao matching,293.9620396030638,5.8792407920612755,1.3247689931370477,9,1.574796640730699
9,91,GC (Liu),293.9128778928406,5.878257557856812,1.3289075674942836,9,1.574533274425932
9,91,Structured (Chen),294.0100936044437,5.880201872088874,1.3261286673787689,9,1.5750540728809486
9,91,Mussbah,300.44571634865486,6.008914326973097,1.3391007248575468,7,2.421744962977994
9,91,MJH weighted-count default,300.44571634865486,6.008914326973097,1.3391007248575468,7,2.421744962977994
9,91,MJH weighted-count strict,304.92159123277463,6.098431824655493,1.209873553769246,3,2.4578227862442708
9,91,MJH weighted-power,300.44571634865486,6.008914326973097,1.3391007248575468,7,2.421744962977994
9,91,MJH beam-resource matching,305.7585796619957,6.115171593239914,1.242013982157352,3,2.4645693377916555
9,91,TopAP (bisect),294.0096481451307,5.880192962902615,1.3296913252078082,9,1.6868829919873625
9,91,Hybrid#3 (TopAP N=8 adaptive),301.15247641072114,6.023049528214423,1.268510386283718,8,1.7958702563875437
9,91,Hybrid#4 (TopAP+greedy),293.93466341527176,5.878693268305435,1.3280489906604303,9,1.6864527664275692
9,92,Random,298.1521263102776,5.963042526205552,1.3097779240438627,9,1.5972435338050588
9,92,Gao matching,298.8011915477568,5.9760238309551355,1.3282669118317179,9,1.6007206690058402
9,92,GC (Liu),298.9841485429278,5.979682970858557,1.324635988299588,9,1.601700795765685
9,92,Structured (Chen),299.00503761714896,5.980100752342979,1.3291014486703852,9,1.601812701520441
9,92,Mussbah,307.54617183708484,6.150923436741697,1.3015077354462719,6,2.270774816054871
9,92,MJH weighted-count default,307.54617183708484,6.150923436741697,1.3015077354462719,6,2.270774816054871
9,92,MJH weighted-count strict,311.23934262837884,6.2247868525675765,1.3238187231297898,3,2.2980434345330822
9,92,MJH weighted-power,307.54617183708484,6.150923436741697,1.3015077354462719,6,2.270774816054871
9,92,MJH beam-resource matching,307.56884345601236,6.151376869120247,1.2915243657455011,4,2.2709422125176277
9,92,TopAP (bisect),298.96713702395294,5.9793427404790584,1.344641673055456,9,1.6913094683610388
9,92,Hybrid#3 (TopAP N=8 adaptive),303.35805474346313,6.067161094869262,1.324638426529598,7,1.809022838007036
9,92,Hybrid#4 (TopAP+greedy),298.9495196723524,5.978990393447048,1.3284823208809091,9,1.691209803916759
9,93,Random,265.43995246488566,5.308799049297713,0.8554203307512778,9,1.421999745347602
9,93,Gao matching,266.13893695737926,5.322778739147585,0.8620361401761408,9,1.4257443051288177
9,93,GC (Liu),266.2019488332065,5.32403897666413,0.8582065697846052,9,1.4260818687493206
9,93,Structured (Chen),266.18878594522835,5.323775718904567,0.8643865822164811,9,1.4260113532780092
9,93,Mussbah,269.3228799603935,5.38645759920787,0.8414442216178558,7,2.0129266794917178
9,93,MJH weighted-count default,269.3228799603935,5.38645759920787,0.8414442216178558,7,2.0129266794917178
9,93,MJH weighted-count strict,278.9357675852476,5.578715351704952,0.9283575754976835,3,2.0847736683916964
9,93,MJH weighted-power,269.3228799603935,5.38645759920787,0.8414442216178558,7,2.0129266794917178
9,93,MJH beam-resource matching,277.9453167006789,5.558906334013578,0.9586842860097424,4,2.0773710109918953
9,93,TopAP (bisect),266.13803921578807,5.322760784315761,0.8640957521149859,9,1.5342315865629599
9,93,Hybrid#3 (TopAP N=8 adaptive),267.2309146256238,5.344618292512476,0.8237435927912988,8,1.6255745807814097
9,93,Hybrid#4 (TopAP+greedy),266.2046811855427,5.324093623710854,0.8630298110977594,9,1.5346157639443279
9,94,Random,286.06926731308994,5.7213853462617985,2.123304025199326,9,1.5325139320344108
