K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
25,20,Gao matching,168.50043704393696,6.740017481757478,10,1.8053618254707535
25,20,Mussbah,178.89574263082386,7.1558297052329545,4,3.3870009017858167
25,20,Hybrid#3 (TopAP N=8 adaptive),177.15473181681097,7.0861892726724385,7,2.1661471182002567
25,20,MJH weighted-count strict,186.58083115264316,7.463233246105727,1,3.532501299788138
25,20,MJH beam-resource matching,182.83562788596123,7.3134251154384495,3,3.4615940403135506
25,21,Random,175.7452030930716,7.029808123722864,10,1.8829843188543391
25,21,Gao matching,176.74306508004835,7.069722603201934,10,1.8936756972862328
25,21,Mussbah,191.81667245198298,7.672666898079319,3,3.3115613590144966
25,21,Hybrid#3 (TopAP N=8 adaptive),183.37686079095766,7.335074431638307,6,2.0943393256795395
25,21,MJH weighted-count strict,190.29210707772674,7.61168428310907,2,3.2852409577785595
25,21,MJH beam-resource matching,190.18410654368307,7.607364261747323,2,3.2833764149798546
25,22,Random,141.506045613259,5.6602418245303605,10,1.516136202999204
25,22,Gao matching,141.5504032968866,5.662016131875464,10,1.516611463895214
25,22,Mussbah,150.96997092685282,6.038798837074113,4,3.2153195568689377
25,22,Hybrid#3 (TopAP N=8 adaptive),143.42134252880535,5.7368537011522145,8,1.7715451470361963
25,22,MJH weighted-count strict,150.65528349198087,6.026211339679235,2,3.20861742493215
25,22,MJH beam-resource matching,151.00936636240502,6.040374654496201,4,3.2161585907086123
25,23,Random,151.6430786402464,6.065723145609855,10,1.6247472711454973
25,23,Gao matching,151.27727427817962,6.051090971127184,10,1.620827938694782
25,23,Mussbah,160.6373671797367,6.4254946871894685,3,2.8507918101050618
25,23,Hybrid#3 (TopAP N=8 adaptive),155.94492087470687,6.237796834988274,7,1.781040306934884
25,23,MJH weighted-count strict,164.9798747092089,6.599194988368356,1,2.9278572222048966
25,23,MJH beam-resource matching,164.66034975772925,6.58641399030917,2,2.9221866915506984
25,24,Random,153.4172756482124,6.136691025928497,10,1.643756524802276
25,24,Gao matching,153.42671396593727,6.137068558637491,10,1.6438576496350426
25,24,Mussbah,162.80724939279915,6.512289975711966,4,2.9417680429946245
25,24,Hybrid#3 (TopAP N=8 adaptive),158.17212654114536,6.3268850616458145,6,1.8772282845354016
25,24,MJH weighted-count strict,166.99310601119407,6.679724240447763,2,3.0174023853133907
25,24,MJH beam-resource matching,162.97067174267644,6.518826869707058,4,2.9447209253028332
25,25,Random,152.6357552823706,6.105430211294824,10,1.6353830923111141
25,25,Gao matching,154.41752932902608,6.176701173161043,10,1.6544735285252798
25,25,Mussbah,164.06171212639774,6.562468485055909,4,3.262420948392226
25,25,Hybrid#3 (TopAP N=8 adaptive),156.29552516860966,6.251821006744386,8,1.8549562872350074
25,25,MJH weighted-count strict,166.45693963860404,6.658277585544162,3,3.3100508329686282
25,25,MJH beam-resource matching,167.77374019356571,6.710949607742629,3,3.3362358438385122
25,26,Random,143.59622591151265,5.743849036460506,10,1.5385309919090644
25,26,Gao matching,143.45382985981402,5.738153194392561,10,1.5370053199265792
25,26,Mussbah,151.71827867662853,6.068731147065141,5,2.8340898881063863
25,26,Hybrid#3 (TopAP N=8 adaptive),147.62633573115437,5.905053429246175,8,1.805090716093186
25,26,MJH weighted-count strict,157.35568684294674,6.29422747371787,2,2.939396391835867
25,26,MJH beam-resource matching,155.285799956214,6.2114319982485595,3,2.90073100789939
25,27,Random,124.64358172658129,4.985743269063252,9,1.335466947070514
25,27,Gao matching,126.38692747963175,5.05547709918527,10,1.3541456515674832
25,27,Mussbah,130.79097583188477,5.231639033275391,5,3.0862699295682097
25,27,Hybrid#3 (TopAP N=8 adaptive),124.46516500967796,4.978606600387119,9,1.673856304063808
25,27,MJH weighted-count strict,133.64756100831232,5.345902440332493,2,3.153676666731718
25,27,MJH beam-resource matching,134.71222500168184,5.388489000067274,3,3.178799504503446
25,28,Random,133.52952502416676,5.34118100096667,10,1.430673482401787
25,28,Gao matching,133.62233351532686,5.3448933406130745,10,1.431667859092788
25,28,Mussbah,143.65531151478356,5.746212460591343,4,2.511310148268462
25,28,Hybrid#3 (TopAP N=8 adaptive),138.2985466538198,5.531941866152793,7,1.6413634258192442
25,28,MJH weighted-count strict,146.20004828937437,5.8480019315749745,1,2.555795961005321
25,28,MJH beam-resource matching,143.43863028399554,5.737545211359821,4,2.507522235603908
25,29,Random,146.81047509023668,5.872419003609467,10,1.572969375966822
25,29,Gao matching,146.6547071212783,5.866188284851132,10,1.571300433442268
25,29,Mussbah,160.36536354059345,6.414614541623738,3,3.2463719465689156
25,29,Hybrid#3 (TopAP N=8 adaptive),151.4022145201998,6.056088580807992,7,1.8146489954478604
25,29,MJH weighted-count strict,158.9782332323716,6.359129329294864,2,3.2182914382881664
25,29,MJH beam-resource matching,160.47705929187927,6.419082371675171,3,3.2486330704520254
25,30,Random,155.03672086492563,6.2014688345970255,10,1.661107723552775
25,30,Gao matching,154.98254272677997,6.199301709071198,10,1.6605272435012144
25,30,Mussbah,164.3877433230786,6.575509732923145,4,3.333197458478834
25,30,Hybrid#3 (TopAP N=8 adaptive),161.00843751885805,6.440337500754322,7,1.949058055307472
25,30,MJH weighted-count strict,168.74481300603935,6.749792520241574,2,3.421543300450259
25,30,MJH beam-resource matching,166.60648931930834,6.664259572772334,3,3.378185718346288
25,31,Random,129.5780134363451,5.183120537453804,10,1.3883358582465548
25,31,Gao matching,127.68735300982446,5.107494120392978,10,1.3680787822481195
25,31,Mussbah,134.15050256470266,5.366020102588107,5,2.7686537403282063
25,31,Hybrid#3 (TopAP N=8 adaptive),133.87537377587586,5.355014951035034,6,1.6536330265676897
25,31,MJH weighted-count strict,139.3653865783954,5.5746154631358165,1,2.87628068062181
