K,scheme,avgSE,likely95SE,avgEE,avgTauP,avgRF,avgEdges
45,GC,3.6024995535122515,1.1811933209152576,0.9658924485631505,15.0,6.398,154.95
45,TopAPBisect,3.602557252053057,1.1812591960785002,0.9659050658369537,15.0,6.398,600.83
45,H2GaoGreedy,3.602294700291513,1.1818228482676363,0.965837874029122,15.0,6.398,154.95
45,H3TopAPAdaptive,3.8079052917683858,1.2495815546128222,1.020358041883945,7.335,6.398,203.24
45,H4TopAPGreedy,3.6022921546631044,1.182268431248583,0.9658369970014047,15.0,6.398,288.755
45,Proposed,3.560501754528942,1.1740191953193597,1.0048858639359273,15.865,3.94085,615.28
45,MatchingBeamFixed,3.5835709778604024,1.1784811940744737,1.0110440752273606,15.0,3.94085,615.28
45,MatchingBeamAdaptive,3.8493574324032656,1.2759179486671959,1.0848241871210738,5.055,3.94085,615.28
50,Random,3.525685590420189,1.1241009345756647,0.9936177660741913,15.0,6.664200000000001,188.245
50,GaoMatching,3.5248856204710974,1.1289530613548069,0.9933889484774757,15.0,6.664200000000001,188.245
50,Greedy,3.5249282979326244,1.1353979428496932,0.9934025006819635,15.0,6.664200000000001,188.245
50,WGF,3.5248156438647094,1.1340408530741546,0.9933714785656818,15.0,6.664200000000001,188.245
50,GC,3.5251064315903466,1.1342953676392489,0.9934525410042565,15.0,6.664200000000001,188.245
50,TopAPBisect,3.524849335961484,1.1350948724794638,0.9933807589852489,15.0,6.664200000000001,669.335
50,H2GaoGreedy,3.5247692982075582,1.1350551985487563,0.9933581165385847,15.0,6.664200000000001,188.245
50,H3TopAPAdaptive,3.7144713145591544,1.1951159458367557,1.0461635890308707,7.785,6.664200000000001,251.855
50,H4TopAPGreedy,3.5247448200289218,1.135115571749733,0.9933515157461176,15.0,6.664200000000001,358.045
50,Proposed,3.452163131688934,1.109547714164377,1.0264194593016331,17.06,4.232724999999999,751.285
50,MatchingBeamFixed,3.5058487609772353,1.1285946096985433,1.041865994282865,15.0,4.232724999999999,751.285
50,MatchingBeamAdaptive,3.7606617818737766,1.2035899409343696,1.1163136688020143,5.285,4.232724999999999,751.285
